time,input_force,position,velocity,angle,angular_velocity
0,3049.94207,0,0,0,0
0.01,-349.354397,0.15251149,30.70014091,0.30144395,58.59564504
0.02,-308.223966,0.45917435,30.87815287,0.83270936,48.12958763
0.03,-2.03258301,0.77276779,31.82462014,1.28260514,42.67031061
0.04,1221.61651,1.10576058,34.76181852,1.70396599,42.01849604
0.05,1345.22528,1.50905175,45.90218149,2.10798805,37.89341216
0.06,736.101384,2.02834151,57.94129637,2.43422338,26.09175457
0.07,336.412358,2.64245038,64.86512356,2.64900719,16.32394143
0.08,173.989443,3.30747972,68.13443258,2.78573989,10.8728498
0.09,107.381486,3.99740775,69.84892049,2.87901673,7.73885328
0.1,73.7083959,4.70121014,70.91082811,2.94620033,5.68354786
0.11,53.0660498,5.41396451,71.63990311,2.99575476,4.22272805
0.12,38.9873437,6.13298668,72.16459867,3.03262438,3.15009678
0.13,28.8949891,6.85655884,72.54995814,3.06014059,2.35328248
0.14,21.5010048,7.58348549,72.83549806,3.08069982,1.75906551
0.15,16.0442736,8.31290215,73.0479414,3.09606927,1.3153663
0.16,11.9806137,9.04417371,73.20645736,3.10756191,0.98363767
0.17,8.95773383,9.77682976,73.32481979,3.11615649,0.73566232
0.18,6.69231994,10.51052018,73.41331664,3.12258405,0.55014961
0.19,5.00592331,11.24498373,73.47943186,3.12739118,0.41150735
0.2,0,11.98002518,73.52888728,3.13098679,0.30778773
